Invoice No,Part No,Description,Invoice Date,User Type,Order Qty,Ship Qty,B/O,Unit Price,Extended price,U/M,Tax 01,Tax 02,Unit Cost (Average),Margin % (Average),Unit Cost (Current),Margin % (Current),Discount,Territory,Salesperson,Salesperson Name,Currency,Product Code,Ship Date,Required Date,Warehouse
1000586939,DU2489_L,adidas Boy's Club 3 Stripe Short (White/Black),2020/09/21,,1,1,0,43.95,43.95,EACH,TRUE,TRUE,18.8,57.22,18.8,57,0,1,9,Amazon.ca,,BSL,,2020/09/21,1
1000588242,FK7146_M,adidas Girl's Club Skirt (Black/Silver/White),2020/09/25,,1,1,0,43.95,43.95,EACH,TRUE,TRUE,18.8,57.22,18.8,57,0,1,9,Amazon.ca,,GSKM,2020/09/25,2020/09/25,1
1000583557,DU0874_M,adidas Men's Club 3 Stripe 9 Inch Shorts (Black/White),2020/09/11,,1,1,0,45.95,45.95,EACH,TRUE,TRUE,25.85,43.74,25.85,44,0,1,9,Amazon.ca,,MTM,,2020/09/11,1
1000581330,DP0302_M,adidas Men's Club 3 Stripe 9 Inch Shorts (White/Black),2020/09/07,,1,1,0,45.95,45.95,EACH,TRUE,TRUE,25.85,43.74,25.85,44,0,1,9,Amazon.ca,,MTM,,2020/09/07,1
1000582903,2041A073-418_M,Asics Men's Club 7 Inch Shorts (Blue),2020/09/11,,1,1,0,87.95,87.95,EACH,TRUE,TRUE,24.2,72.48,24.2,72,0,1,9,Amazon.ca,,MSM,2020/09/11,2020/09/11,1
1000586632,41S1319-156-L,Babolat Women's Performance Dress (Pink),2020/09/23,,1,1,0,66.18,66.18,EACH,TRUE,TRUE,11.25,83,11.25,83,0,1,9,Amazon.ca,,WDL,2020/09/23,2020/09/23,1
1000588334,WRA349401XL,Wilson Women's Hall of Fame Jacket White/Kiwi/Pink,2020/09/17,,1,1,0,36.95,36.95,EACH,TRUE,TRUE,4,89.17,4,89,0,1,9,Amazon.ca,,WJXL,,2020/09/17,1
1000583603,WRA709305_MD,Wilson Women's nVision Elite Cap Sleeve Top White,2020/09/14,,1,1,0,23.95,23.95,EACH,TRUE,TRUE,6,74.95,6,75,0,1,9,Amazon.ca,,WTM,,2020/09/14,1
1000586155,DP0302_L,adidas Men's Club 3 Stripe 9 Inch Shorts (White/Black),2020/09/21,,2,2,0,45.95,91.9,EACH,TRUE,TRUE,25.85,43.74,25.85,44,0,1,9,Amazon.ca,,MTL,2020/09/21,2020/09/21,1
1000581680,DU2490_L,adidas Boy's Club 3 Stripe Short (Black/White),2020/09/09,,1,1,0,29.95,29.95,EACH,TRUE,TRUE,15.04,49.78,15.04,50,0,1,8,Amazon.com,USD,BSL,,2020/09/09,1
1000586796,DU2490_XL,adidas Boy's Club 3 Stripe Short (Black/White),2020/09/22,,1,1,0,29.95,29.95,EACH,TRUE,TRUE,15.04,49.78,15.04,50,0,1,8,Amazon.com,USD,BSXL,,2020/09/22,1
1000581060,DU2490_L,adidas Boy's Club 3 Stripe Short (Black/White),2020/09/05,,1,1,0,29.95,29.95,EACH,TRUE,TRUE,15.04,49.78,15.04,50,0,1,8,Amazon.com,USD,BSL,,2020/09/05,1
1000582429,DU2490_L,adidas Boy's Club 3 Stripe Short (Black/White),2020/09/09,,1,1,0,29.95,29.95,EACH,TRUE,TRUE,15.04,49.78,15.04,50,0,1,8,Amazon.com,USD,BSL,,2020/09/09,1
1000581043,DU2490_L,adidas Boy's Club 3 Stripe Short (Black/White),2020/09/04,,1,1,0,29.95,29.95,EACH,TRUE,TRUE,15.04,49.78,15.04,50,0,1,8,Amazon.com,USD,BSL,,2020/09/04,1
1000581673,DU2490_S,adidas Boy's Club 3 Stripe Short (Black/White),2020/09/09,,1,1,0,29.95,29.95,EACH,TRUE,TRUE,15.04,49.78,15.04,50,0,1,8,Amazon.com,USD,BSS,,2020/09/09,1
1000587826,DU2490_XL,adidas Boy's Club 3 Stripe Short (Black/White),2020/09/25,,1,1,0,29.95,29.95,EACH,TRUE,TRUE,15.04,49.78,15.04,50,0,1,8,Amazon.com,USD,BSXL,,2020/09/25,1
1000588866,DU2489_L,adidas Boy's Club 3 Stripe Short (White/Black),2020/09/28,,1,1,0,29.95,29.95,EACH,TRUE,TRUE,13.44,55.13,13.44,55,0,1,8,Amazon.com,USD,BSL,2020/09/29,2020/09/28,1
